,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending,dependent_project_count,github_dependent_project_count
13,DeePTB,deepmodeling/DeePTB,dptb,,,,https://github.com/deepmodeling/DeePTB,https://github.com/deepmodeling/DeePTB,LGPL-3.0,2023-07-11 03:19:42,2026-03-19 02:34:18.000000,2026-03-19 02:33:19,839,9.0,29.0,2.0,254.0,20.0,40.0,105,2025-05-07 14:02:40,2.2.0,,138.0,12.0,DeePTB: A deep learning package for tight-binding Hamiltonian with ab initio accuracy.,15,https://pypi.org/project/dptb,138.0,,,,,,,,,,14,True,others,2,-1.0,4.0,4.0
14,DMFF,deepmodeling/DMFF,,conda-forge/dmff,,,https://github.com/deepmodeling/DMFF,https://github.com/deepmodeling/DMFF,LGPL-3.0,2022-02-14 01:35:50,2026-04-07 01:20:04.000000,2026-04-07 00:52:04,441,1.0,46.0,8.0,182.0,8.0,20.0,191,2023-11-09 14:32:37,1.0.0,,115.0,4.0,DMFF (Differentiable Molecular Force Field) is a Jax-based python package that provides a full differentiable..,17,,,https://anaconda.org/conda-forge/dmff,2025-04-22 14:58:55.028,3110.0,,,,,,,13,True,others,2,,,
15,rid-kit,deepmodeling/rid-kit,rid-kit,,,,https://github.com/deepmodeling/rid-kit,https://github.com/deepmodeling/rid-kit,LGPL-3.0,2021-02-02 02:44:00,2025-03-31 04:23:22.000000,2025-03-31 04:21:54,477,,25.0,3.0,21.0,2.0,3.0,52,2024-05-14 03:25:35,0.6.4,148.0,60.0,5.0,Reinforced dynamics.,14,https://pypi.org/project/rid-kit,58.0,,,,,,,,,,12,True,others,3,,2.0,2.0
16,GPUMD,deepmodeling/GPUMD,,,,,https://github.com/deepmodeling/GPUMD,https://github.com/deepmodeling/GPUMD,GPL-3.0,2024-06-18 05:40:21,2026-03-27 13:37:03.000000,2026-03-27 13:33:25,6511,335.0,,,,,,12,,,,,,Graphics Processing Units Molecular Dynamics.,57,,,,,,,,,,,,12,True,others,3,,,
17,deepmodeling_sphinx,deepmodeling/deepmodeling_sphinx,deepmodeling_sphinx,,,,https://github.com/deepmodeling/deepmodeling_sphinx,https://github.com/deepmodeling/deepmodeling_sphinx,LGPL-3.0,2022-03-04 00:19:06,2026-04-06 20:58:26.000000,2025-11-12 10:16:02,81,,6.0,4.0,75.0,,1.0,3,2025-11-12 10:16:41,0.3.2,,2421.0,26.0,Sphinx extension for DeepModeling projects.,8,https://pypi.org/project/deepmodeling_sphinx,2421.0,,,,,,,,,,12,True,others,3,,,
18,dpti,deepmodeling/dpti,dpti,,,,https://github.com/deepmodeling/dpti,https://github.com/deepmodeling/dpti,LGPL-3.0,2021-04-04 13:57:37,2026-04-06 20:58:50.000000,2025-03-15 19:50:12,432,,23.0,5.0,87.0,9.0,1.0,35,,,,25.0,,A Python Package to Automate Thermodynamic Integration Calculations for Free Energy.,17,https://pypi.org/project/dpti,25.0,,,,,,,,,,10,True,others,3,,2.0,2.0
19,fealpy,deepmodeling/fealpy,fealpy,,,,https://github.com/deepmodeling/fealpy,https://github.com/deepmodeling/fealpy,,2023-04-10 03:58:57,2025-05-09 01:36:48.000000,2025-04-28 09:12:41,9611,,2.0,,1.0,,,6,,,,452.0,,Finite Element Analysis Library in Python.,69,https://pypi.org/project/fealpy,452.0,,,,,,,,,,10,True,others,3,,,
20,DeePKS-kit,deepmodeling/deepks-kit,,,,,https://github.com/deepmodeling/deepks-kit,https://github.com/deepmodeling/deepks-kit,LGPL-3.0,2020-07-29 03:27:50,2025-04-28 21:22:59.000000,2025-04-28 21:22:58,385,,36.0,12.0,47.0,14.0,17.0,118,,,,,,a package for developing machine learning-based chemically accurate energy and density functional models.,7,,,,,,,,,,,,9,True,others,3,,,
21,fpop,deepmodeling/fpop,fpop,,,,https://github.com/deepmodeling/fpop,https://github.com/deepmodeling/fpop,LGPL-3.0,2023-02-10 03:16:47,2024-07-01 09:11:36.000000,2024-07-01 09:11:36,42,,12.0,8.0,26.0,4.0,,3,,,,344.0,,,4,https://pypi.org/project/fpop,344.0,,,,,,,,,,9,True,others,3,,15.0,15.0
22,args,deepmodeling/args,,,@deepmodeling/args,,https://github.com/deepmodeling/args,https://github.com/deepmodeling/args,LGPL-3.0,2021-12-27 03:27:24,2026-03-30 16:36:39.000000,2025-12-15 15:39:22,88,,2.0,4.0,73.0,,,2,2025-03-06 02:44:56,0.1.1,,32.0,18.0,DeepModeling dargs arguments generation.,3,,,,,,https://www.npmjs.com/package/@deepmodeling/args,32.0,,,,,9,True,others,3,,5.0,5.0
