,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending
0,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmd-kit,deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,LGPL-3.0,2017-12-12 15:23:44,2026-03-19 17:30:39.000000,2026-03-19 13:54:00,3599,121.0,574.0,46.0,2768.0,98.0,887.0,1896,2026-03-19 09:37:17,3.1.3,68412.0,51790.0,61.0,A deep learning package for many-body potential energy representation and molecular dynamics.,46.0,46.0,84.0,https://pypi.org/project/deepmd-kit,6670.0,https://anaconda.org/conda-forge/deepmd-kit,2026-03-19 16:01:57.130,2604877.0,https://www.npmjs.com/package/deepmd-kit,19.0,https://hub.docker.com/r/deepmodeling/deepmd-kit,2025-12-27 02:37:19.399002,1.0,5092.0,30,True,others,1,
1,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,,dptechnology/dpdata,https://github.com/deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,LGPL-3.0,2019-04-12 13:24:23,2026-03-18 01:54:47.000000,2026-03-18 01:54:45,918,35.0,151.0,5.0,670.0,29.0,106.0,245,2026-02-28 00:24:21,1.0.1,,75941.0,43.0,A Python package for manipulating atomistic data of software in computational science.,156.0,156.0,67.0,https://pypi.org/project/dpdata,74115.0,https://anaconda.org/conda-forge/dpdata,2026-03-01 02:16:08.681,121846.0,,,https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,,709.0,26,True,others,1,
2,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,,https://github.com/deepmodeling/abacus-develop,https://github.com/deepmodeling/abacus-develop,LGPL-3.0,2021-02-01 04:04:52,2026-03-19 13:00:58.000000,2026-03-19 13:00:58,7696,151.0,165.0,9.0,4398.0,191.0,2311.0,253,2026-02-27 09:21:02,3.9.0.25,,19143.0,90.0,An electronic structure package based on either plane wave basis or numerical atomic orbitals.,,,142.0,,,https://anaconda.org/conda-forge/abacus,2025-12-20 09:51:19.492,612589.0,,,,,,,25,True,others,1,
3,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,,https://github.com/deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,LGPL-3.0,2019-06-13 11:43:56,2026-03-01 09:25:00.000000,2026-03-01 09:25:00,2240,12.0,183.0,10.0,956.0,39.0,298.0,382,2025-08-07 07:42:12,0.13.2,2080.0,1243.0,21.0,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,8.0,8.0,73.0,https://pypi.org/project/dpgen,496.0,https://anaconda.org/conda-forge/dpgen,2025-08-07 18:05:24.933,49729.0,,,,,,,23,True,others,1,
4,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,,dptechnology/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,LGPL-3.0,2020-12-08 05:14:37,2026-03-16 20:51:36.000000,2026-02-25 09:10:08,1144,12.0,57.0,4.0,456.0,19.0,80.0,57,2026-02-25 09:16:41,1.0.2,,5873.0,55.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,69.0,69.0,48.0,https://pypi.org/project/dpdispatcher,2590.0,https://anaconda.org/conda-forge/dpdispatcher,2026-02-25 23:31:49.645,40888.0,,,https://hub.docker.com/r/dptechnology/dpdispatcher,2026-02-25 09:21:23.725613,,145582.0,23,True,others,1,
5,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,,https://github.com/deepmodeling/reacnetgenerator,https://github.com/deepmodeling/reacnetgenerator,LGPL-3.0,2018-04-06 15:07:56,2026-03-16 20:51:48.000000,2026-03-15 12:44:13,2560,16.0,45.0,5.0,2273.0,8.0,124.0,97,2025-01-05 07:30:15,1.6.15,,11918.0,100.0,an automatic reaction network generator for reactive molecular dynamics simulation.,3.0,3.0,19.0,https://pypi.org/project/reacnetgenerator,1219.0,https://anaconda.org/conda-forge/reacnetgenerator,2025-11-11 16:14:11.843,748970.0,,,,,,,20,True,others,2,1.0
6,dflow,deepmodeling/dflow,dflow,conda-forge/dflow,,dptechnology/dflow,https://github.com/deepmodeling/dflow,https://github.com/deepmodeling/dflow,LGPL-3.0,2022-01-21 08:14:36,2026-01-21 07:08:16.591515,2026-01-21 07:05:50,2277,4.0,30.0,,914.0,13.0,23.0,81,2026-01-21 07:06:16,1.8.133,,356.0,100.0,Dflow is a Python framework for constructing scientific computing workflows (e.g. concurrent learning workflows)..,,,23.0,https://pypi.org/project/dflow,,https://anaconda.org/conda-forge/dflow,,,,,https://hub.docker.com/r/dptechnology/dflow,2026-01-21 07:08:16.591515,,17826.0,18,True,others,2,
7,dargs,deepmodeling/dargs,dargs,conda-forge/dargs,,,https://github.com/deepmodeling/dargs,https://github.com/deepmodeling/dargs,LGPL-3.0,2020-09-19 22:20:28,2026-03-16 20:51:25.000000,2026-02-24 10:51:44,175,9.0,4.0,4.0,95.0,3.0,11.0,6,2026-02-24 10:55:05,0.5.0.post0,,86633.0,34.0,Argument processing for the deep modeling project.,155.0,155.0,8.0,https://pypi.org/project/dargs,85588.0,https://anaconda.org/conda-forge/dargs,2026-02-25 05:33:17.014,61695.0,,,,,,,18,True,others,2,-1.0
8,DeepFlame,deepmodeling/deepflame-dev,,,,,https://github.com/deepmodeling/deepflame-dev,https://github.com/deepmodeling/deepflame-dev,GPL-3.0,2022-06-12 10:25:12,2026-03-06 05:41:29.000000,2026-02-14 09:11:59,1181,5.0,75.0,6.0,514.0,26.0,37.0,206,2026-01-28 10:56:30,2.0.0,,,23.0,A deep learning empowered open-source platform for reacting flow simulations.,,,30.0,,,,,,,,,,,,17,True,others,2,
9,DPGEN2,deepmodeling/dpgen2,dpgen2,,,dptechnology/dpgen2,https://github.com/deepmodeling/dpgen2,https://github.com/deepmodeling/dpgen2,LGPL-3.0,2022-02-28 02:41:16,2026-03-11 00:37:13.302433,2026-03-11 00:35:36,354,6.0,36.0,5.0,278.0,18.0,28.0,40,2023-01-28 03:43:25,0.0.7,,155.0,7.0,2nd generation of the Deep Potential GENerator.,6.0,6.0,19.0,https://pypi.org/project/dpgen2,66.0,,,,,,https://hub.docker.com/r/dptechnology/dpgen2,2026-03-11 00:37:13.302433,,4379.0,16,True,others,2,
