,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending
0,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmd-kit,deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,LGPL-3.0,2017-12-12 15:23:44,2026-06-11 17:42:54.000000,2026-06-10 14:36:09,3720,132.0,593.0,47.0,2906.0,111.0,908.0,1962,2026-03-19 09:37:17,3.1.3,71915.0,52821.0,62.0,A deep learning package for many-body potential energy representation and molecular dynamics.,52.0,52.0,85,https://pypi.org/project/deepmd-kit,6335.0,https://anaconda.org/conda-forge/deepmd-kit,2026-06-07 10:09:31.065,2819364.0,https://www.npmjs.com/package/deepmd-kit,47.0,https://hub.docker.com/r/deepmodeling/deepmd-kit,2026-06-07 12:16:36.241892,1.0,5763.0,30,True,others,1,3.0
1,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,,https://github.com/deepmodeling/abacus-develop,https://github.com/deepmodeling/abacus-develop,LGPL-3.0,2021-02-01 04:04:52,2026-06-09 02:41:56.000000,2026-06-09 02:41:56,7848,169.0,233.0,10.0,4707.0,198.0,2383.0,271,2026-05-31 08:46:36,3.11.0-beta.3,,19433.0,95.0,An electronic structure package based on either plane wave basis or numerical atomic orbitals.,,,151,,,https://anaconda.org/conda-forge/abacus,2025-12-20 09:51:19.492,680178.0,,,,,,,27,True,others,1,2.0
2,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,,dptechnology/dpdata,https://github.com/deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,LGPL-3.0,2019-04-12 13:24:23,2026-06-08 20:28:51.000000,2026-05-27 11:13:30,935,20.0,152.0,6.0,684.0,27.0,112.0,250,2026-05-07 13:32:49,1.0.2,,64993.0,44.0,A Python package for manipulating atomistic data of software in computational science.,160.0,160.0,68,https://pypi.org/project/dpdata,63138.0,https://anaconda.org/conda-forge/dpdata,2026-05-07 19:44:41.918,129333.0,,,https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,,740.0,26,True,others,1,-1.0
3,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,,https://github.com/deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,LGPL-3.0,2019-06-13 11:43:56,2026-06-09 08:32:49.000000,2026-05-12 17:37:35,2252,11.0,185.0,9.0,965.0,38.0,299.0,389,2026-05-12 17:41:50,0.13.3,2102.0,1686.0,22.0,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,8.0,8.0,74,https://pypi.org/project/dpgen,929.0,https://anaconda.org/conda-forge/dpgen,2026-05-13 09:42:35.071,52700.0,,,,,,,24,True,others,1,2.0
4,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,,dptechnology/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,LGPL-3.0,2020-12-08 05:14:37,2026-06-08 20:28:46.000000,2026-06-04 10:30:18,1160,16.0,58.0,4.0,474.0,19.0,81.0,56,2026-03-29 17:31:30,1.0.3,,6732.0,56.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,70.0,70.0,50,https://pypi.org/project/dpdispatcher,3441.0,https://anaconda.org/conda-forge/dpdispatcher,2026-02-25 23:31:49.645,45623.0,,,https://hub.docker.com/r/dptechnology/dpdispatcher,2026-03-29 17:36:27.626936,,150364.0,23,True,others,2,
5,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,,https://github.com/deepmodeling/reacnetgenerator,https://github.com/deepmodeling/reacnetgenerator,LGPL-3.0,2018-04-06 15:07:56,2026-06-08 20:29:01.000000,2026-05-27 15:30:00,2575,23.0,45.0,6.0,2285.0,8.0,124.0,99,2025-01-05 07:30:15,1.6.15,,13765.0,100.0,an automatic reaction network generator for reactive molecular dynamics simulation.,3.0,3.0,20,https://pypi.org/project/reacnetgenerator,2919.0,https://anaconda.org/conda-forge/reacnetgenerator,2025-11-11 16:14:11.843,791761.0,,,,,,,20,True,others,2,
6,DeepFlame,deepmodeling/deepflame-dev,,,,,https://github.com/deepmodeling/deepflame-dev,https://github.com/deepmodeling/deepflame-dev,GPL-3.0,2022-06-12 10:25:12,2026-06-04 07:16:50.000000,2026-06-04 07:16:49,1197,16.0,77.0,8.0,519.0,26.0,38.0,215,2026-01-28 10:56:30,2.0.0,,,23.0,A deep learning empowered open-source platform for reacting flow simulations.,,,31,,,,,,,,,,,,18,True,others,2,
7,APEX,deepmodeling/APEX,apex-flow,,,,https://github.com/deepmodeling/APEX,https://github.com/deepmodeling/APEX,LGPL-3.0,2023-04-20 06:13:42,2026-06-08 05:19:04.000000,2026-06-08 05:19:04,769,85.0,27.0,7.0,102.0,,10.0,45,2026-06-06 16:23:40,1.3.0,,441.0,5.0,APEX: Alloy Properties EXplorer using simulations.,4.0,4.0,13,https://pypi.org/project/apex-flow,441.0,,,,,,,,,,18,True,others,2,3.0
8,dargs,deepmodeling/dargs,dargs,conda-forge/dargs,,,https://github.com/deepmodeling/dargs,https://github.com/deepmodeling/dargs,LGPL-3.0,2020-09-19 22:20:28,2026-06-08 20:28:27.000000,2026-02-24 10:51:44,175,,4.0,5.0,97.0,3.0,11.0,7,2026-02-24 10:55:05,0.5.0.post0,,72830.0,34.0,Argument processing for the deep modeling project.,160.0,160.0,8,https://pypi.org/project/dargs,71742.0,https://anaconda.org/conda-forge/dargs,2026-02-25 05:33:17.014,67470.0,,,,,,,18,True,others,2,
9,JAX-FEM,deepmodeling/jax-fem,jax-fem,,,,https://github.com/deepmodeling/jax-fem,https://github.com/deepmodeling/jax-fem,GPL-3.0,2023-10-02 15:20:54,2026-06-03 03:16:17.000000,2026-06-03 03:15:13,292,18.0,119.0,15.0,15.0,22.0,53.0,692,,,,1116.0,,Differentiable Finite Element Method with JAX.,4.0,4.0,17,https://pypi.org/project/jax-fem,1116.0,,,,,,,,,,17,True,others,2,3.0
