,name,github_id,pypi_id,conda_id,dockerhub_id,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,description,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,star_count
0,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,dptechnology/dpdata,{},163.0,163.0,72,https://pypi.org/project/dpdata,118939.0,120843.0,https://anaconda.org/conda-forge/dpdata,2020-08-12 15:36:21.970,2026-05-07 19:44:41.918,2026-05-07 19:44:41.918000,134059.0,44.0,"Manipulating DeePMD-kit, VASP and LAMMPS data formats.",https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,1169.0,12,False,others,1.0,-15.0,,,,,
1,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmodeling/deepmd-kit,{},57.0,57.0,88,https://pypi.org/project/deepmd-kit,18592.0,66025.0,https://anaconda.org/conda-forge/deepmd-kit,2021-04-20 02:48:47.074,2026-06-07 10:09:31.065,2026-06-07 12:16:36.241892,2979124.0,49.0,A deep learning package for many-body potential energy representation and molecular dynamics.,https://hub.docker.com/r/deepmodeling/deepmd-kit,2026-06-07 12:16:36.241892,6164.0,11,False,others,1.0,-16.0,deepmd-kit,https://www.npmjs.com/package/deepmd-kit,49.0,1.0,1.0
2,dargs,deepmodeling/dargs,dargs,conda-forge/dargs,,{},162.0,162.0,8,https://pypi.org/project/dargs,138047.0,139173.0,https://anaconda.org/conda-forge/dargs,2021-04-20 18:43:41.837,2026-02-25 05:33:17.014,2026-02-25 05:33:17.014000,70943.0,25.0,Process arguments for the deep modeling project.,,,,10,False,others,1.0,,,,,,
3,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,dptechnology/dpdispatcher,{},70.0,70.0,50,https://pypi.org/project/dpdispatcher,2979.0,7352.0,https://anaconda.org/conda-forge/dpdispatcher,2022-09-19 23:56:02.880,2026-02-25 23:31:49.645,2026-03-29 17:36:27.626936,48518.0,28.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,https://hub.docker.com/r/dptechnology/dpdispatcher,2026-03-29 17:36:27.626936,152696.0,9,False,others,2.0,,,,,,
4,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,{},,,161,,,20204.0,https://anaconda.org/conda-forge/abacus,2023-07-31 23:29:26.624,2025-12-20 09:51:19.492,2025-12-20 09:51:19.492000,727369.0,35.0,An electronic structure package based on plane wave and numerical atomic basis sets.,,,,8,False,others,2.0,-17.0,,,,,
5,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,{},8.0,8.0,76,https://pypi.org/project/dpgen,809.0,1555.0,https://anaconda.org/conda-forge/dpgen,2020-06-05 01:25:52.069,2026-05-13 09:42:35.071,2026-05-13 09:42:35.071000,54461.0,18.0,The deep potential generator.,,,,8,False,others,2.0,,,,,,
6,DP-GUI,deepmodeling/dpgui,dpgui,,,{},15.0,15.0,4,https://pypi.org/project/dpgui,115251.0,115251.0,,,,,,,,,,,7,False,others,2.0,,,,,,
7,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,{},3.0,3.0,20,https://pypi.org/project/reacnetgenerator,600.0,11715.0,https://anaconda.org/conda-forge/reacnetgenerator,2020-05-24 03:45:35.365,2025-11-11 16:14:11.843,2025-11-11 16:14:11.843000,822522.0,43.0,An automatic generator of reaction network for reactive molecular dynamics simulation.,,,,7,False,others,2.0,,,,,,
8,fealpy,deepmodeling/fealpy,fealpy,,,{},,,69,https://pypi.org/project/fealpy,1374.0,1374.0,,,,,,,,,,,4,False,others,2.0,,,,,,
9,fpop,deepmodeling/fpop,fpop,,,{},18.0,18.0,4,https://pypi.org/project/fpop,577.0,577.0,,,,,,,,,,,4,False,others,2.0,,,,,,
10,JAX-FEM,deepmodeling/jax-fem,jax-fem,,,{},6.0,6.0,18,https://pypi.org/project/jax-fem,1340.0,1340.0,,,,,,,,,,,4,False,others,2.0,,,,,,
11,APEX,deepmodeling/APEX,apex-flow,,,{},4.0,4.0,15,https://pypi.org/project/apex-flow,723.0,723.0,,,,,,,,,,,3,False,others,3.0,,,,,,
12,deepmodeling_sphinx,deepmodeling/deepmodeling_sphinx,deepmodeling_sphinx,,,{},,,8,https://pypi.org/project/deepmodeling_sphinx,5322.0,5322.0,,,,,,,,,,,3,False,others,3.0,,,,,,
13,DeePTB,deepmodeling/DeePTB,dptb,,,{},4.0,4.0,15,https://pypi.org/project/dptb,541.0,541.0,,,,,,,,,,,3,False,others,3.0,,,,,,
14,DMFF,deepmodeling/DMFF,,conda-forge/dmff,,{},,,17,,,118.0,https://anaconda.org/conda-forge/dmff,2024-01-02 04:26:36.340,2025-04-22 14:58:55.028,2025-04-22 14:58:55.028000,3564.0,2.0,DMFF (Differentiable Molecular Force Field) is a Jax-based python package that provides a full differentiable..,,,,3,False,others,3.0,,,,,,
