,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,description,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending
0,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmd-kit,deepmodeling/deepmd-kit,{},60.0,60.0,89,https://pypi.org/project/deepmd-kit,29206.0,77289.0,https://anaconda.org/conda-forge/deepmd-kit,2021-04-20 02:48:47.074,2026-08-11 10:41:23.588,2026-08-11 10:41:23.588000,3069738.0,49.0,A deep learning package for many-body potential energy representation and molecular dynamics.,https://www.npmjs.com/package/deepmd-kit,21.0,https://hub.docker.com/r/deepmodeling/deepmd-kit,2026-06-07 12:16:36.241892,1.0,1.0,6323.0,11,False,others,1.0,-16.0
1,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,,dptechnology/dpdata,{},164.0,164.0,72,https://pypi.org/project/dpdata,91383.0,93306.0,https://anaconda.org/conda-forge/dpdata,2020-08-12 15:36:21.970,2026-05-07 19:44:41.918,2026-05-07 19:44:41.918000,136990.0,44.0,"Manipulating DeePMD-kit, VASP and LAMMPS data formats.",,,https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,,,1529.0,11,False,others,1.0,-16.0
2,dargs,deepmodeling/dargs,dargs,conda-forge/dargs,,,{},163.0,163.0,8,https://pypi.org/project/dargs,114843.0,115983.0,https://anaconda.org/conda-forge/dargs,2021-04-20 18:43:41.837,2026-02-25 05:33:17.014,2026-02-25 05:33:17.014000,72997.0,25.0,Process arguments for the deep modeling project.,,,,,,,,10,False,others,1.0,
3,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,,dptechnology/dpdispatcher,{},70.0,70.0,50,https://pypi.org/project/dpdispatcher,2417.0,6760.0,https://anaconda.org/conda-forge/dpdispatcher,2022-09-19 23:56:02.880,2026-02-25 23:31:49.645,2026-03-29 17:36:27.626936,50326.0,28.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,,,https://hub.docker.com/r/dptechnology/dpdispatcher,2026-03-29 17:36:27.626936,,,153876.0,9,False,others,2.0,
4,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,,{},,,164,,,20344.0,https://anaconda.org/conda-forge/abacus,2023-07-31 23:29:26.624,2025-12-20 09:51:19.492,2025-12-20 09:51:19.492000,752763.0,35.0,An electronic structure package based on plane wave and numerical atomic basis sets.,,,,,,,,8,False,others,2.0,-17.0
5,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,,{},8.0,8.0,76,https://pypi.org/project/dpgen,757.0,1508.0,https://anaconda.org/conda-forge/dpgen,2020-06-05 01:25:52.069,2026-05-13 09:42:35.071,2026-05-13 09:42:35.071000,55596.0,18.0,The deep potential generator.,,,,,,,,7,False,others,2.0,
6,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,,{},3.0,3.0,20,https://pypi.org/project/reacnetgenerator,549.0,11727.0,https://anaconda.org/conda-forge/reacnetgenerator,2020-05-24 03:45:35.365,2025-11-11 16:14:11.843,2025-11-11 16:14:11.843000,838368.0,43.0,An automatic generator of reaction network for reactive molecular dynamics simulation.,,,,,,,,7,False,others,2.0,
7,DP-GUI,deepmodeling/dpgui,dpgui,,,,{},,,4,https://pypi.org/project/dpgui,83496.0,83496.0,,,,,,,,,,,,,,,5,False,others,2.0,
8,fpop,deepmodeling/fpop,fpop,,,,{},18.0,18.0,4,https://pypi.org/project/fpop,1369.0,1369.0,,,,,,,,,,,,,,,5,False,others,2.0,
9,deepmodeling_sphinx,deepmodeling/deepmodeling_sphinx,deepmodeling_sphinx,,,,{},,,8,https://pypi.org/project/deepmodeling_sphinx,8899.0,8899.0,,,,,,,,,,,,,,,4,False,others,2.0,
